12	99128568	100378432
7	69063904	70257885
4	91048683	92523370
5	21750972	22853731
16	82660398	83830215
7	145813452	148118088
8	2792874	4852328
8	113235158	114449242
2	79740059	80875988
10	67679724	69455949
1	57463578	58716211
18	49866541	51062273
11	83166055	85338314
23	31137344	33357726
2	212240441	213403352
3	59735035	61237133
13	92050934	93519487
13	93879077	95060273
4	93225549	94695706
23	28605680	29974017
2	140988995	142889270
6	124125068	125146786
2	50145642	51259674
14	78636715	80334633
2	205410515	206484886
6	161768589	163148834
3	33840062	33911199
10	52750910	54058110
7	157331749	158380482
16	78133326	79246564
